MUNICIPIO,REG
ABASOLO,8
ACAMBARO,12
APASEO EL ALTO,8
APASEO EL GRANDE,8
ATARJEA,8
CELAYA,12
COMONFORT,8
CORONEO,8
CORTAZAR,10
CUERAMARO,8
DOCTOR MORA,8
DOLORES HIDALGO C.I.N,10
GUANAJUATO,12
HUANIMARO,8
IRAPUATO,12
JARAL DEL PROGRESO,8
JERECUARO,8
LEON,12
MANUEL DOBLADO,8
MOROLEON,10
OCAMPO,8
PENJAMO,10
PUEBLO NUEVO,8
PURISIMA DEL RINCON,8
ROMITA,8
SALAMANCA,12
SALVATIERRA,10
SAN DIEGO DE LA UNION,8
SAN FELIPE,10
SAN FRANCISCO DEL RINCON,10
SAN JOSE ITURBIDE,8
SAN LUIS DE LA PAZ,10
SAN MIGUEL DE ALLENDE,10
SANTA CATARINA,8
SANTA CRUZ DE JUVENTINO ROSAS,8
SANTIAGO MARAVATIO,8
SILAO DE LA VICTORIA,10
TARANDACUAO,8
TARIMORO,8
TIERRA BLANCA,8
URIANGATO,10
VALLE DE SANTIAGO,10
VICTORIA,8
VILLAGRAN,8
XICHU,8
YURIRIA,10
